user_id,user_uuid,org_name,email,first_name,last_name,summary_date,leads_added_today,leads_added_week,leads_added_month,total_leads_created,calls_made_today,emails_sent_today,meetings_scheduled_today,leads_contacted_today,tasks_completed_today,tasks_due_today,total_pending_tasks,task_completion_rate,lead_velocity_daily,engagement_score,is_active_today,daily_engagement_rank,week_number,year_month
11,0b283284-e5c1-4aab-9c55-a44ba9890c9f,BluePeak Ventures,jennifer.jackson528@crm.app,Jennifer,Jackson,2026-05-05,0,2,10,380,1,6,1,3,0,2,2,0.0,0.2857142857142857,26,True,1194.0,19,2026-05
12,4372c9d5-25fc-4a5a-93fb-d5c26f2b9ccd,BluePeak Ventures,kavya.rodriguez821@business.org,Kavya,Rodriguez,2026-05-05,4,4,23,487,15,10,1,8,1,1,18,0.5,0.5714285714285714,103,True,159.0,19,2026-05
13,12527b78-3fba-4b13-8276-c09607dec096,BluePeak Ventures,barbara.anderson393@outlook.com,Barbara,Anderson,2026-05-05,0,8,8,71,11,4,3,13,3,7,11,0.3,1.1428571428571428,85,True,299.0,19,2026-05
14,d8294927-9746-43a7-a8af-741c9b8a5177,BluePeak Ventures,karen.gupta498@gmail.com,Karen,Gupta,2026-05-05,3,9,38,277,2,0,1,1,3,4,7,0.42857142857142855,1.2857142857142858,28,True,1163.0,19,2026-05
15,9c555d78-1ffb-4e36-87ed-5af1388524a6,BluePeak Ventures,thomas.garcia482@gmail.com,Thomas,Garcia,2026-05-05,3,3,3,101,8,12,2,5,4,2,17,0.6666666666666666,0.42857142857142855,84,True,312.0,19,2026-05
16,6478a708-45a0-42f5-9783-dc1080b3ca1b,BluePeak Ventures,michael.adams27@enterprise.com,Michael,Adams,2026-05-05,1,7,11,532,8,10,1,0,5,7,43,0.4166666666666667,1.0,58,True,658.0,19,2026-05
17,a13e22dc-7023-469a-a8e1-7ce6bb594647,BluePeak Ventures,barbara.gupta181@salesteam.co,Barbara,Gupta,2026-05-05,5,12,45,287,5,15,1,11,7,7,28,0.5,1.7142857142857142,99,True,179.0,19,2026-05
18,36c01b9f-1875-4607-a95e-499bb794cba9,BluePeak Ventures,mary.garcia302@company.io,Mary,Garcia,2026-05-05,2,6,13,150,1,2,0,1,2,3,11,0.4,0.8571428571428571,19,True,1320.0,19,2026-05
19,dbb2c2d4-3c1b-4245-9b0e-fa10d12de5bb,BluePeak Ventures,joseph.sharma184@enterprise.com,Joseph,Sharma,2026-05-05,0,0,5,46,0,0,0,0,1,3,3,0.25,0.0,1,True,1587.0,19,2026-05
20,d45a6d2e-02ea-4695-87fc-6d4011d106e0,BluePeak Ventures,lisa.adams440@enterprise.com,Lisa,Adams,2026-05-05,7,8,47,119,4,0,0,2,5,4,23,0.5555555555555556,1.1428571428571428,49,True,784.0,19,2026-05
21,5ce6df9d-000e-4df4-8f7b-18c11f54aff7,BluePeak Ventures,isabella.hall824@company.io,Isabella,Hall,2026-05-05,5,7,7,155,6,4,2,8,4,5,22,0.4444444444444444,1.0,76,True,399.0,19,2026-05
22,a4a33fe2-bd34-4af8-915f-89df6f880dbd,BluePeak Ventures,thomas.johnson94@company.io,Thomas,Johnson,2026-05-05,5,8,8,1521,13,10,2,21,7,0,13,1.0,1.1428571428571428,138,True,33.0,19,2026-05
23,3d9186b6-03de-4d47-9f84-72dfd2b99e18,BluePeak Ventures,jennifer.patel259@techcorp.net,Jennifer,Patel,2026-05-05,1,1,1,124,3,3,0,0,0,1,1,0.0,0.14285714285714285,19,True,1320.0,19,2026-05
24,8cabcd70-a9df-468e-b377-65e134323589,BluePeak Ventures,linda.joshi970@yahoo.com,Linda,Joshi,2026-05-05,2,3,24,175,13,1,2,12,2,5,14,0.2857142857142857,0.42857142857142855,85,True,299.0,19,2026-05
25,85ac53cd-698a-4d2b-a552-2ec3011753a0,BluePeak Ventures,ava.wang387@business.org,Ava,Wang,2026-05-05,0,7,23,1414,4,13,1,2,5,1,23,0.8333333333333334,1.0,52,True,741.0,19,2026-05
26,a0c11401-8cfb-403e-9648-4dbd5bdf1e88,BluePeak Ventures,charlotte.wang390@techcorp.net,Charlotte,Wang,2026-05-05,4,17,32,526,14,0,0,5,1,2,9,0.3333333333333333,2.4285714285714284,69,True,492.0,19,2026-05
27,f6a8cc29-1c08-4f26-87e8-6552a149e286,BluePeak Ventures,susan.garcia625@startup.ai,Susan,Garcia,2026-05-05,4,4,47,304,11,4,3,9,4,5,5,0.4444444444444444,0.5714285714285714,94,True,223.0,19,2026-05
28,f179d151-9026-4a96-a56f-45de29a55197,BluePeak Ventures,charles.hill303@gmail.com,Charles,Hill,2026-05-05,7,7,34,714,21,4,0,20,1,2,33,0.3333333333333333,1.0,140,True,28.0,19,2026-05
29,2f2d42ce-3064-46b6-a9da-d8c9d9e6ae66,BluePeak Ventures,charles.patel766@startup.ai,Charles,Patel,2026-05-05,0,6,6,20,1,3,1,0,2,4,4,0.3333333333333333,0.8571428571428571,16,True,1369.0,19,2026-05
30,07dd32e6-74c5-4560-8a4f-a84d981df357,BluePeak Ventures,anjali.miller692@company.io,Anjali,Miller,2026-05-05,3,9,27,432,7,5,2,11,0,6,17,0.0,1.2857142857142858,75,True,413.0,19,2026-05
31,e88804fe-8acf-4ca6-9942-7fd88d68fdd1,BluePeak Ventures,olivia.campbell418@enterprise.com,Olivia,Campbell,2026-05-05,1,1,1,19,0,0,0,0,0,1,1,0.0,0.14285714285714285,4,True,1578.0,19,2026-05
32,87129186-456a-4e23-a635-d69ea86e325a,BluePeak Ventures,joseph.shah793@outlook.com,Joseph,Shah,2026-05-05,1,20,21,526,2,7,3,5,4,0,18,1.0,2.857142857142857,53,True,725.0,19,2026-05
33,6fe62871-b887-4d49-bb00-15648b077147,BluePeak Ventures,kavya.evans988@gmail.com,Kavya,Evans,2026-05-05,1,2,3,59,3,2,1,0,1,4,4,0.2,0.2857142857142857,23,True,1239.0,19,2026-05
34,b14286f5-993f-4301-acc2-52ae0ecf724a,BluePeak Ventures,joseph.iyer348@business.org,Joseph,Iyer,2026-05-05,4,10,29,474,8,5,2,1,4,1,10,0.8,1.4285714285714286,66,True,533.0,19,2026-05
35,31306eab-8ad1-4b19-88af-084a812fab67,BluePeak Ventures,liam.wilson159@business.org,Liam,Wilson,2026-05-05,2,5,8,51,0,1,1,1,0,0,1,0.0,0.7142857142857143,17,True,1353.0,19,2026-05
36,39212df2-c64c-44fd-9d88-06604d116ac7,BluePeak Ventures,emma.wilson386@startup.ai,Emma,Wilson,2026-05-05,1,4,33,125,8,1,1,6,0,2,2,0.0,0.5714285714285714,47,True,814.0,19,2026-05
37,1825e24e-f535-4ec8-941d-20b6e605f809,BluePeak Ventures,joseph.reddy614@gmail.com,Joseph,Reddy,2026-05-05,0,0,3,50,1,1,0,1,0,0,0,0.0,0.0,7,True,1533.0,19,2026-05
38,b60539e8-48c9-48bc-9ec7-130bce1c75cb,BluePeak Ventures,meena.miller250@startup.ai,Meena,Miller,2026-05-05,2,8,18,441,3,1,0,2,5,2,3,0.7142857142857143,1.1428571428571428,28,True,1163.0,19,2026-05
39,be534130-dd0e-4bc4-9a48-139f776e1614,BluePeak Ventures,olivia.joshi773@crm.app,Olivia,Joshi,2026-05-05,0,3,34,359,11,8,0,9,6,1,18,0.8571428571428571,0.42857142857142855,73,True,439.0,19,2026-05
40,bcfac4bf-6683-457a-afcc-39735112ed5f,BluePeak Ventures,kavya.adams568@gmail.com,Kavya,Adams,2026-05-05,3,7,8,615,8,8,2,5,2,0,8,1.0,1.0,74,True,427.0,19,2026-05
41,18664aa7-781b-4546-8f9b-f32459c55270,BluePeak Ventures,robert.shah97@salesteam.co,Robert,Shah,2026-05-05,4,10,37,189,12,10,2,4,5,1,18,0.8333333333333334,1.4285714285714286,95,True,214.0,19,2026-05
42,fae7d93b-1b02-406f-bc1e-911e5389597b,BluePeak Ventures,logan.gupta521@techcorp.net,Logan,Gupta,2026-05-05,0,1,3,41,2,1,0,3,1,0,0,1.0,0.14285714285714285,15,True,1388.0,19,2026-05
43,a9be84d1-6790-4008-8076-230cf0dec588,Crestline Corp,john.iyer374@company.io,John,Iyer,2026-05-05,4,4,13,415,12,8,3,5,5,7,53,0.4166666666666667,0.5714285714285714,98,True,184.0,19,2026-05
44,ebc6efa5-ef06-4308-827c-74f83ad8e8f0,Crestline Corp,ava.miller729@salesteam.co,Ava,Miller,2026-05-05,5,14,14,324,4,2,0,2,0,1,39,0.0,2.0,40,True,925.0,19,2026-05
45,c526b476-7196-4384-a465-379ac2987eaf,Delta Dynamics,thomas.wilson856@outlook.com,Thomas,Wilson,2026-05-05,0,3,18,767,10,8,2,7,4,1,20,0.8,0.42857142857142855,74,True,427.0,19,2026-05
46,43e52bad-80d4-4df7-92a0-e756237eedbe,Delta Dynamics,anjali.jones977@salesteam.co,Anjali,Jones,2026-05-05,0,6,6,1023,12,9,2,10,5,4,4,0.5555555555555556,0.8571428571428571,89,True,263.0,19,2026-05
47,c0ca3e8f-00e1-4025-b5b6-c3440940464a,Delta Dynamics,ethan.carter187@outlook.com,Ethan,Carter,2026-05-05,1,3,5,166,3,1,1,3,0,1,1,0.0,0.42857142857142855,26,True,1194.0,19,2026-05
48,476bae49-afe3-4766-8626-00c1c8d4d830,Delta Dynamics,meena.garcia441@crm.app,Meena,Garcia,2026-05-05,8,8,21,417,13,8,0,2,0,2,33,0.0,1.1428571428571428,91,True,242.0,19,2026-05
49,17576063-aba9-4523-8f1d-31a506326d1a,Delta Dynamics,barbara.baker695@business.org,Barbara,Baker,2026-05-05,1,1,4,14,1,1,0,0,0,4,4,0.0,0.14285714285714285,9,True,1498.0,19,2026-05
50,3cedc644-b94f-4967-93cd-3258422f0cb6,Delta Dynamics,sophia.jackson711@business.org,Sophia,Jackson,2026-05-05,1,1,13,19,2,4,0,0,2,3,3,0.4,0.14285714285714285,20,True,1297.0,19,2026-05
51,07275600-1fe9-4c9a-aa62-552080229899,Delta Dynamics,william.campbell906@yahoo.com,William,Campbell,2026-05-05,0,0,7,64,1,1,0,0,1,3,5,0.25,0.0,6,True,1552.0,19,2026-05
52,1d79d3f2-c41e-4267-8b55-04534903418c,Delta Dynamics,emma.jackson867@yahoo.com,Emma,Jackson,2026-05-05,0,1,19,344,6,0,0,0,3,0,3,1.0,0.14285714285714285,21,True,1276.0,19,2026-05
53,6bcd5871-519c-4842-bf07-073e1d4a9eac,Delta Dynamics,elijah.wang297@enterprise.com,Elijah,Wang,2026-05-05,5,5,5,657,5,6,0,5,1,7,16,0.125,0.7142857142857143,58,True,658.0,19,2026-05
54,9f485534-8a5c-41c6-99b3-2868e4c58ae4,Delta Dynamics,barbara.miller52@enterprise.com,Barbara,Miller,2026-05-05,3,12,18,871,6,11,0,1,8,4,6,0.6666666666666666,1.7142857142857142,62,True,595.0,19,2026-05
55,3b3cef71-7b00-43c3-835d-50f1f61fd6cc,Delta Dynamics,james.miller442@outlook.com,James,Miller,2026-05-05,10,13,39,897,19,1,1,3,3,2,18,0.6,1.8571428571428572,113,True,100.0,19,2026-05
56,4124720e-aa56-4637-a16f-50515fdb4a9d,Delta Dynamics,lucas.park412@salesteam.co,Lucas,Park,2026-05-05,0,0,3,5,2,2,1,4,1,1,1,0.5,0.0,24,True,1222.0,19,2026-05
57,54c2ce67-e284-431d-9253-ed436422fc02,Delta Dynamics,oliver.carter28@crm.app,Oliver,Carter,2026-05-05,0,6,8,428,3,0,1,2,0,7,13,0.0,0.8571428571428571,18,True,1336.0,19,2026-05
58,a2bf8792-da35-4b44-8b7d-f22d523d9d14,Delta Dynamics,amelia.rodriguez532@company.io,Amelia,Rodriguez,2026-05-05,4,8,16,260,12,4,2,6,2,4,21,0.3333333333333333,1.1428571428571428,84,True,312.0,19,2026-05
59,9f0db8b6-da06-4fc7-9e4f-5c5db4e1c116,Delta Dynamics,linda.zhang693@salesteam.co,Linda,Zhang,2026-05-05,4,4,16,108,9,3,0,0,2,6,12,0.25,0.5714285714285714,51,True,754.0,19,2026-05
60,836bc9b4-f1b0-4eac-abff-88219c8a5276,Delta Dynamics,amelia.chen103@outlook.com,Amelia,Chen,2026-05-05,0,0,2,59,1,0,0,1,0,4,4,0.0,0.0,5,True,1567.0,19,2026-05
61,d37fce0f-2729-471f-ba3f-64082653cf5f,Delta Dynamics,priya.jackson466@salesteam.co,Priya,Jackson,2026-05-05,3,8,38,213,6,8,1,1,2,4,11,0.3333333333333333,1.1428571428571428,55,True,697.0,19,2026-05
62,b30fd083-4518-42e2-9767-a7e6ea647335,Delta Dynamics,lisa.adams741@crm.app,Lisa,Adams,2026-05-05,1,2,2,121,1,0,0,0,0,1,1,0.0,0.2857142857142857,7,True,1533.0,19,2026-05
63,ca66bc42-4200-4e64-b9a4-8eae3672472e,Delta Dynamics,charlotte.baker895@yahoo.com,Charlotte,Baker,2026-05-05,4,4,19,218,7,0,1,2,5,4,25,0.5555555555555556,0.5714285714285714,51,True,754.0,19,2026-05
64,58835bf7-cf94-49bc-9f50-10ca7aa54624,Delta Dynamics,mary.reddy261@gmail.com,Mary,Reddy,2026-05-05,6,15,24,584,14,6,3,2,1,5,25,0.16666666666666666,2.142857142857143,98,True,184.0,19,2026-05
65,9215f07d-b5b9-4eeb-805e-3ac61cbfda8a,Delta Dynamics,susan.wang403@salesteam.co,Susan,Wang,2026-05-05,0,0,9,198,3,0,0,1,0,0,0,0.0,0.0,11,True,1457.0,19,2026-05
66,5b3f04d5-b426-4ed3-b69f-3f7ac3e32f6b,Delta Dynamics,john.reddy450@company.io,John,Reddy,2026-05-05,5,12,12,760,8,3,1,4,5,2,5,0.7142857142857143,1.7142857142857142,68,True,502.0,19,2026-05
67,5f94ac59-4701-4379-8428-998bd2a2925d,Delta Dynamics,charlotte.gupta570@business.org,Charlotte,Gupta,2026-05-05,0,2,8,55,1,0,1,1,1,1,4,0.5,0.2857142857142857,11,True,1457.0,19,2026-05
68,87393b91-30c4-44ca-8353-7687e8719131,Delta Dynamics,anjali.garcia549@company.io,Anjali,Garcia,2026-05-05,0,1,9,36,2,1,0,1,1,2,2,0.3333333333333333,0.14285714285714285,11,True,1457.0,19,2026-05
69,240997cd-7c16-463d-ba1d-8d5a3123cfe5,Delta Dynamics,lisa.taylor369@salesteam.co,Lisa,Taylor,2026-05-05,9,30,32,354,18,11,3,9,8,6,6,0.5714285714285714,4.285714285714286,153,True,8.0,19,2026-05
70,378455ac-562f-4dac-a88b-891958658bfa,Delta Dynamics,mia.harris346@enterprise.com,Mia,Harris,2026-05-05,1,4,63,319,1,12,0,6,7,3,10,0.7,0.5714285714285714,50,True,772.0,19,2026-05
71,204003fd-f5e6-4f0f-9f47-2a81778adbda,Delta Dynamics,anjali.brown633@crm.app,Anjali,Brown,2026-05-05,8,13,40,1238,4,7,1,9,6,5,28,0.5454545454545454,1.8571428571428572,87,True,281.0,19,2026-05
72,ae9f0e68-707b-4ba9-b89e-1e41afc74124,Delta Dynamics,kavya.zhang250@company.io,Kavya,Zhang,2026-05-05,1,3,26,26,3,6,1,4,0,6,6,0.0,0.42857142857142855,38,True,967.0,19,2026-05
73,6f6cc84a-34f0-4cd3-b234-2a1c9fdfcfbb,Delta Dynamics,lisa.hernandez578@company.io,Lisa,Hernandez,2026-05-05,1,15,31,710,5,9,2,9,3,7,25,0.3,2.142857142857143,68,True,502.0,19,2026-05
74,66c2abd9-3517-4f20-9f3a-8a9d136ba1bb,Delta Dynamics,joseph.kumar567@startup.ai,Joseph,Kumar,2026-05-05,0,6,45,608,1,0,1,1,4,7,12,0.36363636363636365,0.8571428571428571,14,True,1403.0,19,2026-05
75,f092e86c-0cf5-4be2-9ff8-464d2b611172,Delta Dynamics,ava.park418@yahoo.com,Ava,Park,2026-05-05,0,3,4,37,1,1,1,1,1,0,0,1.0,0.42857142857142855,13,True,1419.0,19,2026-05
76,adaeb0cf-8e5e-4ea7-bd30-38879659b855,Delta Dynamics,thomas.thomas739@business.org,Thomas,Thomas,2026-05-05,2,3,12,191,4,5,1,7,2,3,6,0.4,0.42857142857142855,51,True,754.0,19,2026-05
77,ae065aa8-fb78-406a-b020-fb085c7824a7,Delta Dynamics,vikram.moore837@startup.ai,Vikram,Moore,2026-05-05,3,5,27,484,1,7,2,7,4,5,5,0.4444444444444444,0.7142857142857143,57,True,676.0,19,2026-05
78,37547801-1d84-4856-8fe3-df91c0c74ebc,Delta Dynamics,john.sharma719@salesteam.co,John,Sharma,2026-05-05,3,9,24,286,8,8,1,14,2,2,7,0.5,1.2857142857142858,87,True,281.0,19,2026-05
79,0f519b30-0365-4975-94b8-b44a5445435b,Delta Dynamics,mary.chen108@enterprise.com,Mary,Chen,2026-05-05,5,6,14,235,1,2,2,1,1,7,13,0.125,0.8571428571428571,40,True,925.0,19,2026-05
80,c055d783-6d1c-457e-aa57-d47f282a2d1e,Delta Dynamics,deepa.carter189@outlook.com,Deepa,Carter,2026-05-05,8,18,26,281,2,5,2,3,4,5,7,0.4444444444444444,2.5714285714285716,68,True,502.0,19,2026-05
81,d89d8c79-f6cb-4b98-90b8-617e6df93688,Delta Dynamics,vikram.campbell402@crm.app,Vikram,Campbell,2026-05-05,0,2,11,111,4,3,1,2,0,2,5,0.0,0.2857142857142857,27,True,1177.0,19,2026-05
82,37c17c35-be37-4f81-a408-b1a8a2cdae2e,Delta Dynamics,olivia.jackson144@outlook.com,Olivia,Jackson,2026-05-05,0,3,6,214,3,2,0,2,0,2,2,0.0,0.42857142857142855,17,True,1353.0,19,2026-05
83,43b30d85-5828-4d57-b31b-949e7990258d,Delta Dynamics,mason.davis275@salesteam.co,Mason,Davis,2026-05-05,7,16,57,738,3,12,1,6,3,2,10,0.6,2.2857142857142856,81,True,353.0,19,2026-05
84,af3e90dc-88a6-4c5f-8430-39b363471314,Delta Dynamics,jessica.brown584@techcorp.net,Jessica,Brown,2026-05-05,1,1,18,362,3,2,2,2,5,4,25,0.5555555555555556,0.14285714285714285,36,True,1004.0,19,2026-05
85,2d40b448-2a0a-4986-9b52-5c0a25f46167,Delta Dynamics,suresh.nair463@yahoo.com,Suresh,Nair,2026-05-05,5,5,41,1113,13,3,3,8,6,7,8,0.46153846153846156,0.7142857142857143,102,True,163.0,19,2026-05
86,624c5109-de84-4615-9a2d-de523d3198e7,Delta Dynamics,priya.harris781@gmail.com,Priya,Harris,2026-05-05,0,1,1,189,0,1,1,0,0,1,4,0.0,0.14285714285714285,7,True,1533.0,19,2026-05
87,e3012f18-9560-41a2-8858-61d1c73be200,Delta Dynamics,isabella.anderson532@business.org,Isabella,Anderson,2026-05-05,0,2,5,110,0,0,0,0,0,0,0,0.0,0.2857142857142857,0,False,1593.0,19,2026-05
88,f3b58f4b-adc5-4dd7-9f8e-f4c5652349d5,Delta Dynamics,jennifer.miller144@yahoo.com,Jennifer,Miller,2026-05-05,4,7,15,326,3,8,2,8,3,3,3,0.5,1.0,70,True,480.0,19,2026-05
89,ea6a826e-ce9f-4e0f-9c28-25c3504be3a6,Delta Dynamics,vikram.davis247@business.org,Vikram,Davis,2026-05-05,1,1,30,94,8,4,3,6,6,3,21,0.6666666666666666,0.14285714285714285,69,True,492.0,19,2026-05
90,348e6225-f988-48ec-9c9b-1e97b6cd9dcb,Delta Dynamics,barbara.wang335@startup.ai,Barbara,Wang,2026-05-05,2,7,30,537,1,0,2,0,5,4,36,0.5555555555555556,1.0,26,True,1194.0,19,2026-05
91,cfcee7a4-b960-4261-a3ff-ad84371454b9,Delta Dynamics,linda.johnson344@startup.ai,Linda,Johnson,2026-05-05,0,5,12,31,3,5,0,0,1,0,0,1.0,0.7142857142857143,20,True,1297.0,19,2026-05
92,70127aee-6d64-4abf-9ea7-1630bec1d0c0,Delta Dynamics,arun.thomas427@techcorp.net,Arun,Thomas,2026-05-05,0,3,13,39,5,1,1,4,1,7,18,0.125,0.42857142857142855,31,True,1101.0,19,2026-05
93,c645b7f0-9413-4e47-b740-d4d5f69cea1f,Delta Dynamics,noah.thomas155@gmail.com,Noah,Thomas,2026-05-05,2,2,2,39,15,1,1,8,9,1,2,0.9,0.2857142857142857,85,True,299.0,19,2026-05
94,f7989e73-420c-4993-8635-306339187e14,Delta Dynamics,michael.park137@startup.ai,Michael,Park,2026-05-05,0,1,8,123,1,0,0,1,1,2,2,0.3333333333333333,0.14285714285714285,6,True,1552.0,19,2026-05
95,d1bb1b64-1675-404c-8d2b-9a80029cf16a,Delta Dynamics,lisa.joshi272@yahoo.com,Lisa,Joshi,2026-05-05,0,3,6,183,0,0,0,0,1,1,1,0.5,0.42857142857142855,1,True,1587.0,19,2026-05
96,c8574760-5c68-477d-8a2f-1d1ca216c8b3,Delta Dynamics,robert.johnson67@company.io,Robert,Johnson,2026-05-05,10,13,28,234,13,5,2,6,7,4,15,0.6363636363636364,1.8571428571428572,118,True,82.0,19,2026-05
97,5db9cfef-d2ba-4c12-b27e-627e38139d32,Delta Dynamics,suresh.liu491@gmail.com,Suresh,Liu,2026-05-05,1,1,3,58,2,1,1,1,0,0,0,0.0,0.14285714285714285,19,True,1320.0,19,2026-05
98,64179319-48de-4e68-b73f-77ba1201a26e,Delta Dynamics,ethan.lee367@crm.app,Ethan,Lee,2026-05-05,2,14,15,537,7,10,2,0,7,3,34,0.7,2.0,66,True,533.0,19,2026-05
99,395c3917-2c1a-4f9a-8373-dd197ec490ee,Delta Dynamics,noah.martin180@business.org,Noah,Martin,2026-05-05,0,1,2,36,0,1,0,1,0,4,4,0.0,0.14285714285714285,4,True,1578.0,19,2026-05
100,e36ad53f-2974-424e-a5f4-d5de5766e900,EverBright Inc,david.gupta811@business.org,David,Gupta,2026-05-05,1,1,29,88,9,0,0,9,3,1,5,0.75,0.14285714285714285,52,True,741.0,19,2026-05
101,b773ff54-407d-4178-bb26-c6337f6af29b,FrontEdge Technologies,barbara.shah764@yahoo.com,Barbara,Shah,2026-05-05,2,2,15,159,0,3,0,1,0,5,7,0.0,0.2857142857142857,16,True,1369.0,19,2026-05
102,bdc516c0-9315-4152-a3d4-4606582fe378,FrontEdge Technologies,vikram.hernandez750@yahoo.com,Vikram,Hernandez,2026-05-05,3,12,13,402,1,0,1,1,1,4,4,0.2,1.7142857142857142,23,True,1239.0,19,2026-05
103,4e89b04a-19e1-4118-bf87-d9b3f79d210c,FrontEdge Technologies,michael.johnson212@outlook.com,Michael,Johnson,2026-05-05,4,12,19,110,3,4,0,2,6,6,41,0.5,1.7142857142857142,43,True,871.0,19,2026-05
104,3666b1c0-2b63-4716-9a35-fd8fea29dd9d,FrontEdge Technologies,isabella.anderson567@gmail.com,Isabella,Anderson,2026-05-05,7,7,18,523,4,1,3,1,4,2,5,0.6666666666666666,1.0,63,True,585.0,19,2026-05
105,d2b0af11-6d39-4a29-bcff-b7ad6b0274e8,FrontEdge Technologies,arun.jones90@startup.ai,Arun,Jones,2026-05-05,1,2,2,360,1,9,0,4,0,7,30,0.0,0.2857142857142857,33,True,1062.0,19,2026-05
106,08755727-ba88-4da5-ace6-c827a07228b1,FrontEdge Technologies,susan.moore413@outlook.com,Susan,Moore,2026-05-05,3,12,29,579,2,4,3,6,5,6,17,0.45454545454545453,1.7142857142857142,58,True,658.0,19,2026-05
107,417d6c81-b720-4aad-adf0-331226835bb9,Granite Global,olivia.lee889@techcorp.net,Olivia,Lee,2026-05-05,5,5,15,411,8,6,2,14,2,5,14,0.2857142857142857,0.7142857142857143,96,True,204.0,19,2026-05
108,7617b19d-5591-4bbb-88f8-1312d97d69fc,Horizon Advisors,david.taylor767@yahoo.com,David,Taylor,2026-05-05,0,3,32,187,7,2,2,2,3,4,6,0.42857142857142855,0.42857142857142855,42,True,893.0,19,2026-05
109,e1f0e995-2240-46ee-97b5-9c8f4e0290db,Horizon Advisors,vikram.kumar471@enterprise.com,Vikram,Kumar,2026-05-05,1,1,1,130,5,4,1,4,2,5,5,0.2857142857142857,0.14285714285714285,42,True,893.0,19,2026-05
110,9a979037-28b0-4d26-840d-1d65c01cdae4,Ironclad Systems,charlotte.rodriguez739@gmail.com,Charlotte,Rodriguez,2026-05-05,4,4,25,685,4,2,1,2,5,4,4,0.5555555555555556,0.5714285714285714,46,True,831.0,19,2026-05
111,bc842cec-2a13-4f9e-be80-4dfd187dbaef,Ironclad Systems,jennifer.anderson364@company.io,Jennifer,Anderson,2026-05-05,8,17,22,322,3,10,3,8,2,5,5,0.2857142857142857,2.4285714285714284,94,True,223.0,19,2026-05
112,4c49fbca-7624-466d-9512-08ccf5f15375,Ironclad Systems,arun.lopez798@yahoo.com,Arun,Lopez,2026-05-05,1,1,10,480,6,0,0,4,0,3,16,0.0,0.14285714285714285,30,True,1117.0,19,2026-05
113,ad74c17a-b0c8-4716-a8a8-41cbf308799c,Ironclad Systems,charlotte.smith642@company.io,Charlotte,Smith,2026-05-05,2,2,2,54,2,1,0,3,1,1,1,0.5,0.2857142857142857,23,True,1239.0,19,2026-05
114,168dd899-b6c2-46fc-aeb5-7d3e72b371b1,Ironclad Systems,amelia.evans812@gmail.com,Amelia,Evans,2026-05-05,1,1,7,283,0,4,1,0,4,1,12,0.8,0.14285714285714285,21,True,1276.0,19,2026-05
